guID,Date,Start Time,End Time,Event Name,Location,Category,Host,Event Description
131,7/21/2023,12:00 PM,1:00 PM,Crafting to Career,Panel 4,Panel,Ely Renae (Kangaroomis),"Join us for an informative discussion on how to turn your hobby or art form into a thriving business. This panel will provide you with practical strategies and insights for monetizing your passion and making a living doing what you love. Ely Renae (Kangaroomis) will share her personal experiences, as well as offer tips on how to build a brand, market your work, and attract customers. You'll also learn about the challenges and pitfalls of turning a hobby into a full-time career, and how to overcome them. Don't miss out on this opportunity to learn how to take your hobby to the next level!"
132,7/21/2023,3:00 PM,4:00 PM,Underneath the Popularity: Underrated Studio Ghibli Films,Panel 4,Panel,Lexi Jeanne,Have you seen most of the popular Studio Ghibli movies? Do you want to discover something new? Come join us as we watch Studio Ghibli film trailers and discuss the facets of the films.
133,7/21/2023,4:30 PM,5:30 PM,Hallyu Raiders: A Kpop DnD Mash Up!,Panel 4,Panel,Fin H,We take elements from Kpop and turn them into DnD materials. Would RM from BTS be a druid or a monk? Would Lisa from BLACKPINK make a good sorcerer? Could you build an entire world and lore from the Deja Vu Dreamcatcher music video? We will answer these questions and more. Hopefully we can be the spark that lights your inspirations aflame.
134,7/21/2023,6:00 PM,7:00 PM,The Pugnacious Pompadour Punk Panel,Panel 4,Panel,Amanda Dunlop,"Pompadour Punks with hearts of gold, we all love them! Come learn the history behind their fashion choices and talk about your favs!"
135,7/21/2023,7:30 PM,9:00 PM,Anime Fight Club Revengeance,Panel 4,Panel,Brian of Pop Ramen Comedy,"Our combatants are back: rested, refreshed, and ready to step into the ring. Bring your knowledge, your support and enthusiasm - and maybe a couple of fourth-wall breaking jokes - and join us for a new tournament era as we attempt to answer the ultimate question of all fandom: who would win in a fight!"
136,7/21/2023,9:30 PM,11:30 PM,Jojo's Bizarre Slumber Party,Panel 4,Panel,CowboySimpCos,"Join us for our third year of Jojo's Bizzare Slumber party as we enjoy a night full of presentations, games, and competitions all centered around our favorite anime, Jojo's Bizzare Adventure! Trivia, Debates and Prizes all around for everyone!"
138,7/21/2023,11:00 AM,12:00 PM,Witchcraft in Anime,Panel 5,Panel,Shelly Hershey,Come join us while we explore witchcraft in anime and discuss the similarities and differences to real life practices.
139,7/21/2023,1:00 PM,2:30 PM,Accessibility in the Kitchen,Panel 5,Panel,Katy Scarlet,"Spiritual successor to ""How to Feed a Broke Weeaboo"", this panel is a crash course in keeping yourself nourished when your brain and body won't cooperate."
140,7/21/2023,3:00 PM,4:00 PM,Contact Safety 101: How to properly pick and wear Cosplay Contacts,Panel 5,Panel,Operacosplay ,Cosplay Contacts can be a major safety hazard if the correct actions and brands are not chosen. Join your local microbiologist in discuss the risk factors and right way in choosing contacts for your next cosplay 
141,7/21/2023,4:30 PM,5:30 PM, Bakusquad ASL Part 2!,Panel 5,Panel,Falling Star Pro,"Fanonly, Katsuki Bakugo is losing his hearing, join the bakusquad as to learn the basics of ASL. Bonus content: Learn how to sign Bakugo's nicknames for Class 1 A! This panel is led by Mina of Falling Star Pro who is a teacher of the Deaf and Hard of Hearing and who graduated from an ASL Interpreting Program. This panel will review some of the signs and things taught at last years Tekko 2022 and will include new signs and interactions as well."
142,7/21/2023,6:00 PM,7:00 PM,Not Your Momma's Magical Girls,Panel 5,Panel,Kawaii Neko Productions,"Magical girls have a history of being super kawaii, but more recently we have had an influx of non-traditional magical girls. From boys in super cute outfits, to girls who fight in the army come learn about the new wave of mahou shoujo, these ain’t the magical girls your momma knows!"
